Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C17,10u,C_0603_1608Metric,108.275,-67.5,0.0,top
C18,10u,C_0603_1608Metric,100.0,-68.275,90.0,top
C2,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,107.9825,-69.0,0.0,top
C3,100nF,C_0603_1608Metric,108.275,-70.5,0.0,top
D1,1N5817,SOD2613X110N,106.5,-75.675,-90.0,top
F1,Polyfuse 1A,Fuse_1206_3216Metric,111.0,-76.4,90.0,top
FB1,BLM21PG220,L_0805_2012Metric,109.0,-76.0625,-90.0,top
J1,Conn_01x02,S2BZRLFSN,93.75,-83.0,0.0,top
J2,Conn_01x02,S2BZRLFSN,94.0,-71.1,180.0,top
J3,Conn_01x02,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,113.45,-68.95,180.0,top
J5,Conn_01x02,S2BZRLFSN,100.75,-83.0,0.0,top
J6,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,119.0,-79.995,0.0,top
J7,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,103.5,-76.77,0.0,top
J9,"Connector, USB-TYPE-C-16P",TYPE-C-SMD_HX-TYPE-C-16PIN,110.5,-85.15,0.0,top
U1,USBLC6-2SC6,SOT-23-6,114.0,-75.3625,90.0,top
U2,AMS1117-3.3,SOT-89-3,103.8,-69.0,180.0,top
